date;Qualifying Hedge Funds: no risk metric reported (count);Qualifying Hedge Funds: calculates alternative to VaR (count);Qualifying Hedge Funds: calculates VaR (count)
2013-03-31;266.0;498.0;455.0
2013-06-30;251.0;531.0;462.0
2013-09-30;292.0;514.0;506.0
2013-12-31;297.0;539.0;515.0
2014-03-31;310.0;547.0;543.0
2014-06-30;313.0;565.0;555.0
2014-09-30;315.0;593.0;531.0
2014-12-31;325.0;614.0;570.0
2015-03-31;317.0;638.0;587.0
2015-06-30;328.0;642.0;599.0
2015-09-30;345.0;640.0;612.0
2015-12-31;345.0;645.0;620.0
2016-03-31;352.0;614.0;614.0
2016-06-30;349.0;620.0;614.0
2016-09-30;370.0;613.0;617.0
2016-12-31;390.0;605.0;626.0
2017-03-31;424.0;597.0;640.0
2017-06-30;436.0;619.0;649.0
2017-09-30;430.0;637.0;650.0
2017-12-31;469.0;647.0;658.0
2018-03-31;450.0;637.0;656.0
2018-06-30;465.0;651.0;668.0
2018-09-30;474.0;648.0;679.0
2018-12-31;479.0;642.0;672.0
2019-03-31;479.0;616.0;671.0
2019-06-30;485.0;613.0;657.0
2019-09-30;493.0;628.0;658.0
2019-12-31;502.0;633.0;660.0
2020-03-31;504.0;638.0;657.0
2020-06-30;494.0;643.0;657.0
2020-09-30;487.0;653.0;623.0
2020-12-31;526.0;644.0;606.0
2021-03-31;585.0;671.0;589.0
2021-06-30;610.0;682.0;648.0
2021-09-30;625.0;722.0;656.0
2021-12-31;640.0;747.0;675.0
2022-03-31;663.0;734.0;676.0
2022-06-30;660.0;730.0;644.0
2022-09-30;648.0;686.0;682.0
2022-12-31;673.0;732.0;638.0
2023-03-31;667.0;738.0;614.0
2023-06-30;683.0;750.0;644.0
2023-09-30;700.0;750.0;632.0
2023-12-31;715.0;746.0;615.0
2024-03-31;723.0;755.0;609.0
2024-06-30;730.0;631.0;635.0
2024-09-30;759.0;636.0;657.0
2024-12-31;757.0;624.0;647.0
2025-03-31;773.0;639.0;637.0
2025-06-30;779.0;660.0;644.0
2025-09-30;771.0;619.0;631.0
